# Assembly name:  AgR_To_v5
# Organism name:  Trifolium repens (white clover)
# Infraspecific name:  cultivar=cv 'Crau'-derivative
# Taxid:          3899
# BioSample:      SAMN11016253
# BioProject:     PRJNA523044
# Submitter:      AgResearch Ltd
# Date:           2019-11-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCDJ01
# Assembly method: AllPaths v. DEC-2013
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_005869975.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_005871075.1		Primary Assembly
## GCA_005871225.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_2833	unplaced-scaffold	na	na	VCDJ01002833.1	<>	na	Primary Assembly	1163	na
scaffold_2834	unplaced-scaffold	na	na	VCDJ01002834.1	<>	na	Primary Assembly	3661	na
scaffold_2835	unplaced-scaffold	na	na	VCDJ01002835.1	<>	na	Primary Assembly	844	na
scaffold_2836	unplaced-scaffold	na	na	VCDJ01002836.1	<>	na	Primary Assembly	3012	na
scaffold_2837	unplaced-scaffold	na	na	VCDJ01002837.1	<>	na	Primary Assembly	3860	na
scaffold_2838	unplaced-scaffold	na	na	VCDJ01002838.1	<>	na	Primary Assembly	3858	na
scaffold_2839	unplaced-scaffold	na	na	VCDJ01002839.1	<>	na	Primary Assembly	3858	na
scaffold_2840	unplaced-scaffold	na	na	VCDJ01002840.1	<>	na	Primary Assembly	3852	na
scaffold_2841	unplaced-scaffold	na	na	VCDJ01002841.1	<>	na	Primary Assembly	3850	na
scaffold_2842	unplaced-scaffold	na	na	VCDJ01002842.1	<>	na	Primary Assembly	3846	na
scaffold_2843	unplaced-scaffold	na	na	VCDJ01002843.1	<>	na	Primary Assembly	3715	na
scaffold_2844	unplaced-scaffold	na	na	VCDJ01002844.1	<>	na	Primary Assembly	3847	na
scaffold_2845	unplaced-scaffold	na	na	VCDJ01002845.1	<>	na	Primary Assembly	3814	na
scaffold_2846	unplaced-scaffold	na	na	VCDJ01002846.1	<>	na	Primary Assembly	3842	na
scaffold_2847	unplaced-scaffold	na	na	VCDJ01002847.1	<>	na	Primary Assembly	3825	na
scaffold_2848	unplaced-scaffold	na	na	VCDJ01002848.1	<>	na	Primary Assembly	3839	na
scaffold_2849	unplaced-scaffold	na	na	VCDJ01002849.1	<>	na	Primary Assembly	3828	na
scaffold_2850	unplaced-scaffold	na	na	VCDJ01002850.1	<>	na	Primary Assembly	3840	na
scaffold_2851	unplaced-scaffold	na	na	VCDJ01002851.1	<>	na	Primary Assembly	3840	na
scaffold_2852	unplaced-scaffold	na	na	VCDJ01002852.1	<>	na	Primary Assembly	3828	na
scaffold_2853	unplaced-scaffold	na	na	VCDJ01002853.1	<>	na	Primary Assembly	3839	na
scaffold_2854	unplaced-scaffold	na	na	VCDJ01002854.1	<>	na	Primary Assembly	3839	na
scaffold_2855	unplaced-scaffold	na	na	VCDJ01002855.1	<>	na	Primary Assembly	3822	na
scaffold_2856	unplaced-scaffold	na	na	VCDJ01002856.1	<>	na	Primary Assembly	3831	na
scaffold_2857	unplaced-scaffold	na	na	VCDJ01002857.1	<>	na	Primary Assembly	1817	na
scaffold_2858	unplaced-scaffold	na	na	VCDJ01002858.1	<>	na	Primary Assembly	2014	na
scaffold_2859	unplaced-scaffold	na	na	VCDJ01002859.1	<>	na	Primary Assembly	3835	na
scaffold_2860	unplaced-scaffold	na	na	VCDJ01002860.1	<>	na	Primary Assembly	3784	na
scaffold_2861	unplaced-scaffold	na	na	VCDJ01002861.1	<>	na	Primary Assembly	3831	na
scaffold_2862	unplaced-scaffold	na	na	VCDJ01002862.1	<>	na	Primary Assembly	3819	na
scaffold_2863	unplaced-scaffold	na	na	VCDJ01002863.1	<>	na	Primary Assembly	3805	na
scaffold_2864	unplaced-scaffold	na	na	VCDJ01002864.1	<>	na	Primary Assembly	3799	na
scaffold_2865	unplaced-scaffold	na	na	VCDJ01002865.1	<>	na	Primary Assembly	3811	na
scaffold_2866	unplaced-scaffold	na	na	VCDJ01002866.1	<>	na	Primary Assembly	2186	na
scaffold_2867	unplaced-scaffold	na	na	VCDJ01002867.1	<>	na	Primary Assembly	1633	na
scaffold_2868	unplaced-scaffold	na	na	VCDJ01002868.1	<>	na	Primary Assembly	3820	na
scaffold_2869	unplaced-scaffold	na	na	VCDJ01002869.1	<>	na	Primary Assembly	3748	na
scaffold_2870	unplaced-scaffold	na	na	VCDJ01002870.1	<>	na	Primary Assembly	3815	na
scaffold_2871	unplaced-scaffold	na	na	VCDJ01002871.1	<>	na	Primary Assembly	3814	na
scaffold_2872	unplaced-scaffold	na	na	VCDJ01002872.1	<>	na	Primary Assembly	3815	na
scaffold_2873	unplaced-scaffold	na	na	VCDJ01002873.1	<>	na	Primary Assembly	3815	na
scaffold_2874	unplaced-scaffold	na	na	VCDJ01002874.1	<>	na	Primary Assembly	3810	na
scaffold_2875	unplaced-scaffold	na	na	VCDJ01002875.1	<>	na	Primary Assembly	3797	na
scaffold_2876	unplaced-scaffold	na	na	VCDJ01002876.1	<>	na	Primary Assembly	3804	na
scaffold_2877	unplaced-scaffold	na	na	VCDJ01002877.1	<>	na	Primary Assembly	3631	na
scaffold_2878	unplaced-scaffold	na	na	VCDJ01002878.1	<>	na	Primary Assembly	3572	na
scaffold_2879	unplaced-scaffold	na	na	VCDJ01002879.1	<>	na	Primary Assembly	3780	na
scaffold_2880	unplaced-scaffold	na	na	VCDJ01002880.1	<>	na	Primary Assembly	3746	na
scaffold_2881	unplaced-scaffold	na	na	VCDJ01002881.1	<>	na	Primary Assembly	3785	na
scaffold_2882	unplaced-scaffold	na	na	VCDJ01002882.1	<>	na	Primary Assembly	3804	na
scaffold_2883	unplaced-scaffold	na	na	VCDJ01002883.1	<>	na	Primary Assembly	3803	na
scaffold_2884	unplaced-scaffold	na	na	VCDJ01002884.1	<>	na	Primary Assembly	3785	na
scaffold_2885	unplaced-scaffold	na	na	VCDJ01002885.1	<>	na	Primary Assembly	3751	na
scaffold_2886	unplaced-scaffold	na	na	VCDJ01002886.1	<>	na	Primary Assembly	3794	na
scaffold_2887	unplaced-scaffold	na	na	VCDJ01002887.1	<>	na	Primary Assembly	3792	na
scaffold_2888	unplaced-scaffold	na	na	VCDJ01002888.1	<>	na	Primary Assembly	3741	na
scaffold_2889	unplaced-scaffold	na	na	VCDJ01002889.1	<>	na	Primary Assembly	3792	na
scaffold_2890	unplaced-scaffold	na	na	VCDJ01002890.1	<>	na	Primary Assembly	3791	na
scaffold_2891	unplaced-scaffold	na	na	VCDJ01002891.1	<>	na	Primary Assembly	3728	na
scaffold_2892	unplaced-scaffold	na	na	VCDJ01002892.1	<>	na	Primary Assembly	827	na
scaffold_2893	unplaced-scaffold	na	na	VCDJ01002893.1	<>	na	Primary Assembly	2948	na
scaffold_2894	unplaced-scaffold	na	na	VCDJ01002894.1	<>	na	Primary Assembly	3775	na
scaffold_2895	unplaced-scaffold	na	na	VCDJ01002895.1	<>	na	Primary Assembly	2359	na
scaffold_2896	unplaced-scaffold	na	na	VCDJ01002896.1	<>	na	Primary Assembly	1346	na
scaffold_2897	unplaced-scaffold	na	na	VCDJ01002897.1	<>	na	Primary Assembly	3781	na
scaffold_2898	unplaced-scaffold	na	na	VCDJ01002898.1	<>	na	Primary Assembly	3773	na
scaffold_2899	unplaced-scaffold	na	na	VCDJ01002899.1	<>	na	Primary Assembly	3776	na
scaffold_2900	unplaced-scaffold	na	na	VCDJ01002900.1	<>	na	Primary Assembly	3735	na
scaffold_2901	unplaced-scaffold	na	na	VCDJ01002901.1	<>	na	Primary Assembly	3736	na
scaffold_2902	unplaced-scaffold	na	na	VCDJ01002902.1	<>	na	Primary Assembly	3688	na
scaffold_2903	unplaced-scaffold	na	na	VCDJ01002903.1	<>	na	Primary Assembly	3691	na
scaffold_2904	unplaced-scaffold	na	na	VCDJ01002904.1	<>	na	Primary Assembly	3769	na
scaffold_2905	unplaced-scaffold	na	na	VCDJ01002905.1	<>	na	Primary Assembly	3762	na
scaffold_2906	unplaced-scaffold	na	na	VCDJ01002906.1	<>	na	Primary Assembly	3766	na
scaffold_2907	unplaced-scaffold	na	na	VCDJ01002907.1	<>	na	Primary Assembly	356	na
scaffold_2908	unplaced-scaffold	na	na	VCDJ01002908.1	<>	na	Primary Assembly	3170	na
scaffold_2909	unplaced-scaffold	na	na	VCDJ01002909.1	<>	na	Primary Assembly	3761	na
scaffold_2910	unplaced-scaffold	na	na	VCDJ01002910.1	<>	na	Primary Assembly	1015	na
scaffold_2911	unplaced-scaffold	na	na	VCDJ01002911.1	<>	na	Primary Assembly	2747	na
scaffold_2912	unplaced-scaffold	na	na	VCDJ01002912.1	<>	na	Primary Assembly	1387	na
scaffold_2913	unplaced-scaffold	na	na	VCDJ01002913.1	<>	na	Primary Assembly	2372	na
scaffold_2914	unplaced-scaffold	na	na	VCDJ01002914.1	<>	na	Primary Assembly	3710	na
scaffold_2915	unplaced-scaffold	na	na	VCDJ01002915.1	<>	na	Primary Assembly	3754	na
scaffold_2916	unplaced-scaffold	na	na	VCDJ01002916.1	<>	na	Primary Assembly	3756	na
scaffold_2917	unplaced-scaffold	na	na	VCDJ01002917.1	<>	na	Primary Assembly	2672	na
scaffold_2918	unplaced-scaffold	na	na	VCDJ01002918.1	<>	na	Primary Assembly	588	na
scaffold_2919	unplaced-scaffold	na	na	VCDJ01002919.1	<>	na	Primary Assembly	451	na
scaffold_2920	unplaced-scaffold	na	na	VCDJ01002920.1	<>	na	Primary Assembly	1016	na
scaffold_2921	unplaced-scaffold	na	na	VCDJ01002921.1	<>	na	Primary Assembly	1206	na
scaffold_2922	unplaced-scaffold	na	na	VCDJ01002922.1	<>	na	Primary Assembly	3741	na
scaffold_2923	unplaced-scaffold	na	na	VCDJ01002923.1	<>	na	Primary Assembly	3739	na
scaffold_2924	unplaced-scaffold	na	na	VCDJ01002924.1	<>	na	Primary Assembly	3737	na
scaffold_2925	unplaced-scaffold	na	na	VCDJ01002925.1	<>	na	Primary Assembly	3733	na
scaffold_2926	unplaced-scaffold	na	na	VCDJ01002926.1	<>	na	Primary Assembly	3733	na
scaffold_2927	unplaced-scaffold	na	na	VCDJ01002927.1	<>	na	Primary Assembly	1011	na
scaffold_2928	unplaced-scaffold	na	na	VCDJ01002928.1	<>	na	Primary Assembly	2706	na
scaffold_2929	unplaced-scaffold	na	na	VCDJ01002929.1	<>	na	Primary Assembly	1887	na
scaffold_2930	unplaced-scaffold	na	na	VCDJ01002930.1	<>	na	Primary Assembly	1825	na
scaffold_2931	unplaced-scaffold	na	na	VCDJ01002931.1	<>	na	Primary Assembly	3727	na
scaffold_2932	unplaced-scaffold	na	na	VCDJ01002932.1	<>	na	Primary Assembly	2769	na
scaffold_2933	unplaced-scaffold	na	na	VCDJ01002933.1	<>	na	Primary Assembly	398	na
scaffold_2934	unplaced-scaffold	na	na	VCDJ01002934.1	<>	na	Primary Assembly	2210	na
scaffold_2935	unplaced-scaffold	na	na	VCDJ01002935.1	<>	na	Primary Assembly	1513	na
scaffold_2936	unplaced-scaffold	na	na	VCDJ01002936.1	<>	na	Primary Assembly	3720	na
scaffold_2937	unplaced-scaffold	na	na	VCDJ01002937.1	<>	na	Primary Assembly	3725	na
scaffold_2938	unplaced-scaffold	na	na	VCDJ01002938.1	<>	na	Primary Assembly	3725	na
scaffold_2939	unplaced-scaffold	na	na	VCDJ01002939.1	<>	na	Primary Assembly	3716	na
scaffold_2940	unplaced-scaffold	na	na	VCDJ01002940.1	<>	na	Primary Assembly	223	na
scaffold_2941	unplaced-scaffold	na	na	VCDJ01002941.1	<>	na	Primary Assembly	1563	na
scaffold_2942	unplaced-scaffold	na	na	VCDJ01002942.1	<>	na	Primary Assembly	1935	na
scaffold_2943	unplaced-scaffold	na	na	VCDJ01002943.1	<>	na	Primary Assembly	3723	na
scaffold_2944	unplaced-scaffold	na	na	VCDJ01002944.1	<>	na	Primary Assembly	3561	na
scaffold_2945	unplaced-scaffold	na	na	VCDJ01002945.1	<>	na	Primary Assembly	3719	na
scaffold_2946	unplaced-scaffold	na	na	VCDJ01002946.1	<>	na	Primary Assembly	3720	na
scaffold_2947	unplaced-scaffold	na	na	VCDJ01002947.1	<>	na	Primary Assembly	3709	na
scaffold_2948	unplaced-scaffold	na	na	VCDJ01002948.1	<>	na	Primary Assembly	1778	na
scaffold_2949	unplaced-scaffold	na	na	VCDJ01002949.1	<>	na	Primary Assembly	1929	na
scaffold_2950	unplaced-scaffold	na	na	VCDJ01002950.1	<>	na	Primary Assembly	3658	na
scaffold_2951	unplaced-scaffold	na	na	VCDJ01002951.1	<>	na	Primary Assembly	3712	na
scaffold_2952	unplaced-scaffold	na	na	VCDJ01002952.1	<>	na	Primary Assembly	3715	na
scaffold_2953	unplaced-scaffold	na	na	VCDJ01002953.1	<>	na	Primary Assembly	3714	na
scaffold_2954	unplaced-scaffold	na	na	VCDJ01002954.1	<>	na	Primary Assembly	3701	na
scaffold_2955	unplaced-scaffold	na	na	VCDJ01002955.1	<>	na	Primary Assembly	3710	na
scaffold_2956	unplaced-scaffold	na	na	VCDJ01002956.1	<>	na	Primary Assembly	3659	na
scaffold_2957	unplaced-scaffold	na	na	VCDJ01002957.1	<>	na	Primary Assembly	3705	na
scaffold_2958	unplaced-scaffold	na	na	VCDJ01002958.1	<>	na	Primary Assembly	3627	na
scaffold_2959	unplaced-scaffold	na	na	VCDJ01002959.1	<>	na	Primary Assembly	3664	na
scaffold_2960	unplaced-scaffold	na	na	VCDJ01002960.1	<>	na	Primary Assembly	3626	na
scaffold_2961	unplaced-scaffold	na	na	VCDJ01002961.1	<>	na	Primary Assembly	3691	na
scaffold_2962	unplaced-scaffold	na	na	VCDJ01002962.1	<>	na	Primary Assembly	3556	na
scaffold_2963	unplaced-scaffold	na	na	VCDJ01002963.1	<>	na	Primary Assembly	3653	na
scaffold_2964	unplaced-scaffold	na	na	VCDJ01002964.1	<>	na	Primary Assembly	2636	na
scaffold_2965	unplaced-scaffold	na	na	VCDJ01002965.1	<>	na	Primary Assembly	3692	na
scaffold_2966	unplaced-scaffold	na	na	VCDJ01002966.1	<>	na	Primary Assembly	3667	na
scaffold_2967	unplaced-scaffold	na	na	VCDJ01002967.1	<>	na	Primary Assembly	3689	na
scaffold_2968	unplaced-scaffold	na	na	VCDJ01002968.1	<>	na	Primary Assembly	3688	na
scaffold_2969	unplaced-scaffold	na	na	VCDJ01002969.1	<>	na	Primary Assembly	1172	na
scaffold_2970	unplaced-scaffold	na	na	VCDJ01002970.1	<>	na	Primary Assembly	2505	na
scaffold_2971	unplaced-scaffold	na	na	VCDJ01002971.1	<>	na	Primary Assembly	3671	na
scaffold_2972	unplaced-scaffold	na	na	VCDJ01002972.1	<>	na	Primary Assembly	3644	na
scaffold_2973	unplaced-scaffold	na	na	VCDJ01002973.1	<>	na	Primary Assembly	3445	na
scaffold_2974	unplaced-scaffold	na	na	VCDJ01002974.1	<>	na	Primary Assembly	234	na
scaffold_2975	unplaced-scaffold	na	na	VCDJ01002975.1	<>	na	Primary Assembly	3674	na
scaffold_2976	unplaced-scaffold	na	na	VCDJ01002976.1	<>	na	Primary Assembly	3538	na
scaffold_2977	unplaced-scaffold	na	na	VCDJ01002977.1	<>	na	Primary Assembly	3665	na
scaffold_2978	unplaced-scaffold	na	na	VCDJ01002978.1	<>	na	Primary Assembly	3672	na
scaffold_2979	unplaced-scaffold	na	na	VCDJ01002979.1	<>	na	Primary Assembly	3668	na
scaffold_2980	unplaced-scaffold	na	na	VCDJ01002980.1	<>	na	Primary Assembly	3628	na
scaffold_2981	unplaced-scaffold	na	na	VCDJ01002981.1	<>	na	Primary Assembly	3670	na
scaffold_2982	unplaced-scaffold	na	na	VCDJ01002982.1	<>	na	Primary Assembly	3670	na
scaffold_2983	unplaced-scaffold	na	na	VCDJ01002983.1	<>	na	Primary Assembly	3648	na
scaffold_2984	unplaced-scaffold	na	na	VCDJ01002984.1	<>	na	Primary Assembly	1721	na
scaffold_2985	unplaced-scaffold	na	na	VCDJ01002985.1	<>	na	Primary Assembly	1512	na
scaffold_2986	unplaced-scaffold	na	na	VCDJ01002986.1	<>	na	Primary Assembly	3106	na
scaffold_2987	unplaced-scaffold	na	na	VCDJ01002987.1	<>	na	Primary Assembly	560	na
scaffold_2988	unplaced-scaffold	na	na	VCDJ01002988.1	<>	na	Primary Assembly	3660	na
scaffold_2989	unplaced-scaffold	na	na	VCDJ01002989.1	<>	na	Primary Assembly	791	na
scaffold_2990	unplaced-scaffold	na	na	VCDJ01002990.1	<>	na	Primary Assembly	268	na
scaffold_2991	unplaced-scaffold	na	na	VCDJ01002991.1	<>	na	Primary Assembly	2584	na
scaffold_2992	unplaced-scaffold	na	na	VCDJ01002992.1	<>	na	Primary Assembly	3663	na
scaffold_2993	unplaced-scaffold	na	na	VCDJ01002993.1	<>	na	Primary Assembly	3662	na
scaffold_2994	unplaced-scaffold	na	na	VCDJ01002994.1	<>	na	Primary Assembly	3642	na
scaffold_2995	unplaced-scaffold	na	na	VCDJ01002995.1	<>	na	Primary Assembly	3659	na
scaffold_2996	unplaced-scaffold	na	na	VCDJ01002996.1	<>	na	Primary Assembly	3655	na
scaffold_2997	unplaced-scaffold	na	na	VCDJ01002997.1	<>	na	Primary Assembly	3580	na
scaffold_2998	unplaced-scaffold	na	na	VCDJ01002998.1	<>	na	Primary Assembly	3650	na
scaffold_2999	unplaced-scaffold	na	na	VCDJ01002999.1	<>	na	Primary Assembly	3646	na
scaffold_3000	unplaced-scaffold	na	na	VCDJ01003000.1	<>	na	Primary Assembly	3648	na
scaffold_3001	unplaced-scaffold	na	na	VCDJ01003001.1	<>	na	Primary Assembly	3585	na
scaffold_3002	unplaced-scaffold	na	na	VCDJ01003002.1	<>	na	Primary Assembly	3719	na
scaffold_3003	unplaced-scaffold	na	na	VCDJ01003003.1	<>	na	Primary Assembly	3625	na
scaffold_3004	unplaced-scaffold	na	na	VCDJ01003004.1	<>	na	Primary Assembly	3590	na
scaffold_3005	unplaced-scaffold	na	na	VCDJ01003005.1	<>	na	Primary Assembly	3638	na
scaffold_3006	unplaced-scaffold	na	na	VCDJ01003006.1	<>	na	Primary Assembly	2121	na
scaffold_3007	unplaced-scaffold	na	na	VCDJ01003007.1	<>	na	Primary Assembly	253	na
scaffold_3008	unplaced-scaffold	na	na	VCDJ01003008.1	<>	na	Primary Assembly	1134	na
scaffold_3009	unplaced-scaffold	na	na	VCDJ01003009.1	<>	na	Primary Assembly	3627	na
scaffold_3010	unplaced-scaffold	na	na	VCDJ01003010.1	<>	na	Primary Assembly	3588	na
scaffold_3011	unplaced-scaffold	na	na	VCDJ01003011.1	<>	na	Primary Assembly	3618	na
scaffold_3012	unplaced-scaffold	na	na	VCDJ01003012.1	<>	na	Primary Assembly	2167	na
scaffold_3013	unplaced-scaffold	na	na	VCDJ01003013.1	<>	na	Primary Assembly	865	na
scaffold_3014	unplaced-scaffold	na	na	VCDJ01003014.1	<>	na	Primary Assembly	3624	na
scaffold_3015	unplaced-scaffold	na	na	VCDJ01003015.1	<>	na	Primary Assembly	3621	na
scaffold_3016	unplaced-scaffold	na	na	VCDJ01003016.1	<>	na	Primary Assembly	3619	na
scaffold_3017	unplaced-scaffold	na	na	VCDJ01003017.1	<>	na	Primary Assembly	941	na
scaffold_3018	unplaced-scaffold	na	na	VCDJ01003018.1	<>	na	Primary Assembly	2453	na
scaffold_3019	unplaced-scaffold	na	na	VCDJ01003019.1	<>	na	Primary Assembly	3609	na
scaffold_3020	unplaced-scaffold	na	na	VCDJ01003020.1	<>	na	Primary Assembly	3496	na
scaffold_3021	unplaced-scaffold	na	na	VCDJ01003021.1	<>	na	Primary Assembly	504	na
scaffold_3022	unplaced-scaffold	na	na	VCDJ01003022.1	<>	na	Primary Assembly	3109	na
scaffold_3023	unplaced-scaffold	na	na	VCDJ01003023.1	<>	na	Primary Assembly	3613	na
scaffold_3024	unplaced-scaffold	na	na	VCDJ01003024.1	<>	na	Primary Assembly	3612	na
scaffold_3025	unplaced-scaffold	na	na	VCDJ01003025.1	<>	na	Primary Assembly	3612	na
scaffold_3026	unplaced-scaffold	na	na	VCDJ01003026.1	<>	na	Primary Assembly	3601	na
scaffold_3027	unplaced-scaffold	na	na	VCDJ01003027.1	<>	na	Primary Assembly	666	na
scaffold_3028	unplaced-scaffold	na	na	VCDJ01003028.1	<>	na	Primary Assembly	2695	na
scaffold_3029	unplaced-scaffold	na	na	VCDJ01003029.1	<>	na	Primary Assembly	3595	na
scaffold_3030	unplaced-scaffold	na	na	VCDJ01003030.1	<>	na	Primary Assembly	3606	na
scaffold_3031	unplaced-scaffold	na	na	VCDJ01003031.1	<>	na	Primary Assembly	3573	na
scaffold_3032	unplaced-scaffold	na	na	VCDJ01003032.1	<>	na	Primary Assembly	3581	na
scaffold_3033	unplaced-scaffold	na	na	VCDJ01003033.1	<>	na	Primary Assembly	3590	na
scaffold_3034	unplaced-scaffold	na	na	VCDJ01003034.1	<>	na	Primary Assembly	3369	na
scaffold_3035	unplaced-scaffold	na	na	VCDJ01003035.1	<>	na	Primary Assembly	1494	na
scaffold_3036	unplaced-scaffold	na	na	VCDJ01003036.1	<>	na	Primary Assembly	3578	na
scaffold_3037	unplaced-scaffold	na	na	VCDJ01003037.1	<>	na	Primary Assembly	3591	na
scaffold_3038	unplaced-scaffold	na	na	VCDJ01003038.1	<>	na	Primary Assembly	1169	na
scaffold_3039	unplaced-scaffold	na	na	VCDJ01003039.1	<>	na	Primary Assembly	217	na
scaffold_3040	unplaced-scaffold	na	na	VCDJ01003040.1	<>	na	Primary Assembly	1317	na
scaffold_3041	unplaced-scaffold	na	na	VCDJ01003041.1	<>	na	Primary Assembly	357	na
scaffold_3042	unplaced-scaffold	na	na	VCDJ01003042.1	<>	na	Primary Assembly	3591	na
scaffold_3043	unplaced-scaffold	na	na	VCDJ01003043.1	<>	na	Primary Assembly	443	na
scaffold_3044	unplaced-scaffold	na	na	VCDJ01003044.1	<>	na	Primary Assembly	3143	na
scaffold_3045	unplaced-scaffold	na	na	VCDJ01003045.1	<>	na	Primary Assembly	3176	na
scaffold_3046	unplaced-scaffold	na	na	VCDJ01003046.1	<>	na	Primary Assembly	3578	na
scaffold_3047	unplaced-scaffold	na	na	VCDJ01003047.1	<>	na	Primary Assembly	2112	na
scaffold_3048	unplaced-scaffold	na	na	VCDJ01003048.1	<>	na	Primary Assembly	1424	na
scaffold_3049	unplaced-scaffold	na	na	VCDJ01003049.1	<>	na	Primary Assembly	3574	na
scaffold_3050	unplaced-scaffold	na	na	VCDJ01003050.1	<>	na	Primary Assembly	3544	na
scaffold_3051	unplaced-scaffold	na	na	VCDJ01003051.1	<>	na	Primary Assembly	3565	na
scaffold_3052	unplaced-scaffold	na	na	VCDJ01003052.1	<>	na	Primary Assembly	3559	na
scaffold_3053	unplaced-scaffold	na	na	VCDJ01003053.1	<>	na	Primary Assembly	3571	na
scaffold_3054	unplaced-scaffold	na	na	VCDJ01003054.1	<>	na	Primary Assembly	3562	na
scaffold_3055	unplaced-scaffold	na	na	VCDJ01003055.1	<>	na	Primary Assembly	3556	na
scaffold_3056	unplaced-scaffold	na	na	VCDJ01003056.1	<>	na	Primary Assembly	3555	na
scaffold_3057	unplaced-scaffold	na	na	VCDJ01003057.1	<>	na	Primary Assembly	3532	na
scaffold_3058	unplaced-scaffold	na	na	VCDJ01003058.1	<>	na	Primary Assembly	3547	na
scaffold_3059	unplaced-scaffold	na	na	VCDJ01003059.1	<>	na	Primary Assembly	3563	na
scaffold_3060	unplaced-scaffold	na	na	VCDJ01003060.1	<>	na	Primary Assembly	3547	na
scaffold_3061	unplaced-scaffold	na	na	VCDJ01003061.1	<>	na	Primary Assembly	3561	na
scaffold_3062	unplaced-scaffold	na	na	VCDJ01003062.1	<>	na	Primary Assembly	3561	na
scaffold_3063	unplaced-scaffold	na	na	VCDJ01003063.1	<>	na	Primary Assembly	3558	na
scaffold_3064	unplaced-scaffold	na	na	VCDJ01003064.1	<>	na	Primary Assembly	3511	na
scaffold_3065	unplaced-scaffold	na	na	VCDJ01003065.1	<>	na	Primary Assembly	3480	na
scaffold_3066	unplaced-scaffold	na	na	VCDJ01003066.1	<>	na	Primary Assembly	3559	na
scaffold_3067	unplaced-scaffold	na	na	VCDJ01003067.1	<>	na	Primary Assembly	2398	na
scaffold_3068	unplaced-scaffold	na	na	VCDJ01003068.1	<>	na	Primary Assembly	1036	na
scaffold_3069	unplaced-scaffold	na	na	VCDJ01003069.1	<>	na	Primary Assembly	3559	na
scaffold_3070	unplaced-scaffold	na	na	VCDJ01003070.1	<>	na	Primary Assembly	3559	na
scaffold_3071	unplaced-scaffold	na	na	VCDJ01003071.1	<>	na	Primary Assembly	3529	na
scaffold_3072	unplaced-scaffold	na	na	VCDJ01003072.1	<>	na	Primary Assembly	3550	na
scaffold_3073	unplaced-scaffold	na	na	VCDJ01003073.1	<>	na	Primary Assembly	3545	na
scaffold_3074	unplaced-scaffold	na	na	VCDJ01003074.1	<>	na	Primary Assembly	3541	na
scaffold_3075	unplaced-scaffold	na	na	VCDJ01003075.1	<>	na	Primary Assembly	3373	na
scaffold_3076	unplaced-scaffold	na	na	VCDJ01003076.1	<>	na	Primary Assembly	980	na
scaffold_3077	unplaced-scaffold	na	na	VCDJ01003077.1	<>	na	Primary Assembly	2560	na
scaffold_3078	unplaced-scaffold	na	na	VCDJ01003078.1	<>	na	Primary Assembly	3542	na
scaffold_3079	unplaced-scaffold	na	na	VCDJ01003079.1	<>	na	Primary Assembly	3441	na
scaffold_3080	unplaced-scaffold	na	na	VCDJ01003080.1	<>	na	Primary Assembly	3543	na
scaffold_3081	unplaced-scaffold	na	na	VCDJ01003081.1	<>	na	Primary Assembly	3202	na
scaffold_3082	unplaced-scaffold	na	na	VCDJ01003082.1	<>	na	Primary Assembly	3503	na
scaffold_3083	unplaced-scaffold	na	na	VCDJ01003083.1	<>	na	Primary Assembly	3540	na
scaffold_3084	unplaced-scaffold	na	na	VCDJ01003084.1	<>	na	Primary Assembly	389	na
scaffold_3085	unplaced-scaffold	na	na	VCDJ01003085.1	<>	na	Primary Assembly	3146	na
scaffold_3086	unplaced-scaffold	na	na	VCDJ01003086.1	<>	na	Primary Assembly	3536	na
scaffold_3087	unplaced-scaffold	na	na	VCDJ01003087.1	<>	na	Primary Assembly	3508	na
scaffold_3088	unplaced-scaffold	na	na	VCDJ01003088.1	<>	na	Primary Assembly	3276	na
scaffold_3089	unplaced-scaffold	na	na	VCDJ01003089.1	<>	na	Primary Assembly	3528	na
scaffold_3090	unplaced-scaffold	na	na	VCDJ01003090.1	<>	na	Primary Assembly	3532	na
scaffold_3091	unplaced-scaffold	na	na	VCDJ01003091.1	<>	na	Primary Assembly	3532	na
scaffold_3092	unplaced-scaffold	na	na	VCDJ01003092.1	<>	na	Primary Assembly	3518	na
scaffold_3093	unplaced-scaffold	na	na	VCDJ01003093.1	<>	na	Primary Assembly	3464	na
scaffold_3094	unplaced-scaffold	na	na	VCDJ01003094.1	<>	na	Primary Assembly	3526	na
scaffold_3095	unplaced-scaffold	na	na	VCDJ01003095.1	<>	na	Primary Assembly	3426	na
scaffold_3096	unplaced-scaffold	na	na	VCDJ01003096.1	<>	na	Primary Assembly	1430	na
